Name,Category,State,City
"061-PT. SRI JAGANNATH PRASAD MAHAVIDHYALAYA,DABRAI,SAMSHABAD,AGRA",College,Uttar Pradesh,Agra
"100001-KCES'S MOOLJEE JAITHA COLLEGE, JALGAON.",College,Maharashtra,Jalgaon
"100002-J.D.M.V.P. SAMAJ'S SHRI S. S. PATIL ARTS, SHRI BHAUSAHEB T.T. SALUNKHE COMMERCE AND SHRI G. R. PANDIT  SCIENCE COLLEGE, JALGAON TAL. JALGAON DIST. JALGAON",College,Maharashtra,Jalgaon
"100003-EU'S DR. ANNASAHEB G.D.BENDALE MAHILA MAHAVIDYALAYA, JALGAON.",College,Maharashtra,Jalgaon
"100004-Khandesh College Education Society'S College of Education And Physical Education, JALGAON.",College,Maharashtra,Jalgaon
"100005-KCES'S S.S.MANIYAR LAW COLLEGE, JALGAON.",College,Maharashtra,Jalgaon
"100006-KRIDA RASIK EDUCATION SOCIETY INSTITUTE OF MANAGEMENT & RESEARCH JALGAON SANCHALIT ADV.SITARAM (BABANBHAU) ANANDRAMJI BAHETI ARTS,COMMERCE&SCIENCE COLLEGE, JALGAON",College,Maharashtra,Jalgaon
"100007-SSBT'S COLLEGE OF ENGINEERING & TECHNOLOGY, BAMBHORI.",College,Maharashtra,Jalgaon
"100008-SES'S COLLEGE OF PHYSICAL EDUCATION, JALGAON.",College,Maharashtra,Jalgaon
"100009- IQRA EDUCATION SOCIETY'S H.J.THIM COLLEGE OF ARTS AND SCIENCE MEHRUN, JALGAON.",College,Maharashtra,Jalgaon
"100010-KCES'S INSTITUTE OF MANAGEMENT & RESEARCH, JALGAON.",College,Maharashtra,Jalgaon
"100043-IES'S IQRA COLLEGE OF EDUCATION, MEHRUN.",College,Maharashtra,Jalgaon
"100054-GOVERNMENT COLLEGE OF ENGINEERING, JALGAON.",College,Maharashtra,Jalgaon
"100055-DHANAJI NANA CHAUDHARI VIDYA PRABODHINI SANCHALIT LOKSEVAK MADHUKARRAO CHAUDHARI COLLEGE OF SOCIAL WORK, JALGAON.",College,Maharashtra,Jalgaon
"100062-KHASHABA APANG KRIDA PRASHIKSHAN SANSHTA'S COMMERCE AND SCIENCE COLLEGE, JALGAON DIST JALGAON",College,Maharashtra,Jalgaon
"100063-GF'S GODAVARI COLLEGE OF ENGINEERING, JALGAON",College,Maharashtra,Jalgaon
"100066-Dhanaji Nana Chaudhari Vidya Prabodhini Sanchalit Shirish Madhukarrao Chaudhari College, Jalgaon",College,Maharashtra,Jalgaon
100081-GODAVARI FOUNDATION'S GODAVARI INSTITUTE OF MANAGEMENT & RESEARCH JALGAON,College,Maharashtra,Jalgaon
"100089-GFS'S GODAVARI COLLEGE OF MUSIC & FINE ARTS,JALGAON",College,Maharashtra,Jalgaon
"100090-GODAVARI FOUNDATIONS'S DR.ULHAS PATIL LAW COLLEGE, JALGAON TAL. JALGAON DIST.JALGAON",College,Maharashtra,Jalgaon
"100098-SHELLINO EDUCATION SOCIETY'S ARUNAMAI COLLEGE OF PHARMACY,MAMURABAD,JALGAON",College,Maharashtra,Jalgaon
"100103-SES'S COLLEGE OF EDUCATION, JALGAON.",College,Maharashtra,Jalgaon
"100105-JAI DURGA BHAVANI KRIDA MANDAL'S OM SAI COLLEGE OF EDUCATION, SHIRSOLI",College,Maharashtra,Jalgaon
"100110-SMBKMP'S SHRI.CHHATRAPATI RAJE SAMBHAJI COLLEGE OF EDUCATION, JALGAON",College,Maharashtra,Jalgaon
"100113-KHANDESH COLLEGE EDUCATION SOCIETY'S POST GRADUATE COLLEGE OF SCIENCE, ARTS & COMMERCE, JALGAON.",College,Maharashtra,Jalgaon
"110012-TES'S BHUSAWAL ARTS,SCIENCE & P.O.NAHATA COMMERCE COLLEGE, BHUSAWAL.",College,Maharashtra,Jalgaon
"110013-SHRI SARASWATI VIDYA PRASARAK MANDAL'S SMT.P.K.KOTECHA MAHILA MAHAVIDYALAYA, BHUSAWAL. DIST JALGAON",College,Maharashtra,Jalgaon
"110015-JDMVP CO-OP S'S ARTS,COMMERCE & SCIENCE COLLEGE, VARANGAON.",College,Maharashtra,Jalgaon
"110050-THE BHUSAWAL PEOPLES CHARITABLE SANSTHA'S DADASAHEB DEVIDAS NAMDEO BHOLE COLLEGE, BHUSAWAL TAL. BHUSAWAL DIST. JALGAON",College,Maharashtra,Jalgaon
"110059-HINDI SEVA MANDAL'S SHRI.SANT GADGE BABA COLLEGE OF ENGINEERING & TECHNOLOGY, BHUSAWAL",College,Maharashtra,Jalgaon
"110088-K.NARKHEDE COLLEGE BHUSAWAL, Dist JALGAON",College,Maharashtra,Jalgaon
"110102-KYDSCT'S COLLEGE OF PHARMACY, SAKEGAON-BHUSAWAL",College,Maharashtra,Jalgaon
"110109-LATE DAGADABAI CHAMPALALJI BIYANI SHAIKSHANIK VIKAS, BHUSAWAL, SANCHALIT BIYANI B.ED COLLEGE AT. MIRGAVHAN, NEAR GOVT. ITI, JAMNER ROAD, BHUSAWAL, JALGAON 425201",College,Maharashtra,Jalgaon
1161-MATOSHRI EDUCATION SOCIETY'S SATYAJEET COLLEGE OF PHARMACY MEHAKAR DIST.BULDHANA,College,Maharashtra,Buldhana
"120017-KES'S PRATAP COLLEGE, AMALNER.",College,Maharashtra,Jalgaon
"120018-NPS'S COLLEGE OF EDUCATION, AMALNER.",College,Maharashtra,Jalgaon
"120064-SHRAM SAFALYA EDUCATION SOCIETYS, PANDIT JAWAHARLAL NEHRU COLLEGE OF SOCIAL WORK, AMALNER",College,Maharashtra,Jalgaon
"120068-DHANDAIMATA EDUCATION SOCIETY SANCHALIT DHANDAI ARTS AND SCIENCE COLLEGE, AMALNER TAL. AMALNER, DIST. JALGAON",College,Maharashtra,Jalgaon
"120072-GRAM VIKAS SHIKSHAN MANDAL MARWAD SANCHALIT, LATE. NHANABHAU MANSARAM TUKARAM PATIL ARTS COLLEGE, MARWAD,TAL-AMALNER,DIST-JALGAON.",College,Maharashtra,Jalgaon
"130020-CES'S BP.ARTS,SMA.SCIENCE & KKC.COMMERCE COLLEGE, CHALISGAON.",College,Maharashtra,Jalgaon
"130021-RSSPM'S NANASAHEB YASHAVANTRAO N.CHAVAN ARTS,SCIENCE&COMMERCE COLLEGE,CHALISGAON",College,Maharashtra,Jalgaon
"130082-SSMACT'S SMT. SITABAI MANGILAL AGRAWAL INSTITUTE OF MANAGEMENT, CHALISGAON",College,Maharashtra,Jalgaon
"130083-MAHATMA PHULE SAMAJIK AND SHAIKSHANIK VIKAS MANDALACHE MAHATMA PHULE ARTS AND SCIENCE COLLEGE, CHALISGAON TAL.CHALISGAON DIST. JALGAON",College,Maharashtra,Jalgaon
"130091-MAHATMA FULE SAMAJIK V SHAIKSHANIK VIKAS MANDAL SANCHALIT MAHATMA PHULE COLLEGE OF EDUCATION, CHALISGAON",College,Maharashtra,Jalgaon
