Name,Category,State,City,Address
Chakraborty Multi Speciality Hospital,0,Andaman and Nicobar Islands,South Andaman,Near Dollygunj Junction
Inhs Dhanvantri,0,Andaman and Nicobar Islands,South Andaman,Medical Board Office
Maricar Hospital,0,Andaman and Nicobar Islands,South Andaman,Near Masjid
Pillar Health Centre,0,Andaman and Nicobar Islands,South Andaman,"Lamba Line, P.B. No. 526"
"G B Pant Hospital, Port Blair",Public/ Government,Andaman and Nicobar Islands,South Andaman,"GB Pant Road, City Centre, Port Blair"
"Care Hospital, Banjara",Private,Andhra Pradesh,Hyderabad,"Road No.1, Banjara Hills"
Aasha Hospitals,0,Andhra Pradesh,Anantapur,"7/201, Court Road"
Abhaya Kidney Care Multispeciality Hospital,0,Andhra Pradesh,Anantapur,"10-470, Adimurthy Nagar, Opposite Guild Off Service School"
Baby Hospital,0,Andhra Pradesh,Anantapur,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex"
Dr Akbar Eye Hospital And Laser Centre,0,Andhra Pradesh,Anantapur,"12-3-234, 6Th Cross Sai Nagar"
Dr.Ysr Memorial Hospitals,0,Andhra Pradesh,Anantapur,"#12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch"
Hrudaya Children Hospital,0,Andhra Pradesh,Anantapur,Sai Nagar Iind Cross
"Jeevana Jyothi Hospitals Ltd.,",0,Andhra Pradesh,Anantapur,"#15-381, Kamala Nagar"
K K Nursing Home,0,Andhra Pradesh,Anantapur,Opposite Annapurna Lodge Kamalanagar
Meda Nursing Home,0,Andhra Pradesh,Anantapur,Railway Station Road
Mnr Nursing Home,0,Andhra Pradesh,Anantapur,"12/3-269, Sai Nagar, 6Th Cross"
Mythri Hospitals,0,Andhra Pradesh,Anantapur,D No: 15/721 Kamala Nagar
Padmavathi Hospital,0,Andhra Pradesh,Anantapur,"Aravinda Nagar, 2 Nd Cross"
Pavani Multi Speciality Hospital,0,Andhra Pradesh,Anantapur,"12-2-979,3Rd Cross, Sai Nagar"
Prasanthi Nursing Home,0,Andhra Pradesh,Anantapur,"#346, Court Road"
Priya Multispeciality Hospital,0,Andhra Pradesh,Anantapur,"#12/2/991, Sai Nagar,Main Road"
Ravitej Nursing Home,0,Andhra Pradesh,Anantapur,"15-16, Kamala Nagar"
Santhi Nursing Home,0,Andhra Pradesh,Anantapur,"Near R.T.C, Bus Stand"
Sri Prakash Eye Hospital,0,Andhra Pradesh,Anantapur,"# 12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital"
Sri Sai Balaji Hospital,0,Andhra Pradesh,Anantapur,"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross"
Sri Sai Kurpa Nursing Home,0,Andhra Pradesh,Anantapur,"10/368, Sarojini Road"
Sri Sai Venkateshwara Surgical Clinic,0,Andhra Pradesh,Anantapur,Anantapur
Sudhir Surgical Clinic,0,Andhra Pradesh,Anantapur,Hospital Road
Suma Eye Clinic,0,Andhra Pradesh,Anantapur,"12-2-870,1St Cross,Sai Nagar"
Swetha Ent Hospital,0,Andhra Pradesh,Anantapur,"#12/350-A,1St Cross ,Sai Nagar"
Vaatsalya Hospital(Ananthapur),0,Andhra Pradesh,Anantapur,"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex"
Varun Children's Hospital,0,Andhra Pradesh,Anantapur,"D. No.14/224, Kamala Nagar"
Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),0,Andhra Pradesh,Anantapur,"7/201, Court Road"
Vijaya Nursing Home,0,Andhra Pradesh,Anantapur,Navodaya Colony
Divyasree Hospital,0,Andhra Pradesh,Anantapur,Adimurthy Nagar Guild Of Service Road
Mamatha Nursing Home,0,Andhra Pradesh,Anantapur,"12-2-865, 1St Cross, Sai Nagar"
Anantapuram Praja Vaidyasala,0,Andhra Pradesh,Anantapur,"28-639-1, Behind Sangamesh Funtion Hall"
Balaji Nursing Home,0,Andhra Pradesh,Anantapur,M.F. Road
Dr B V Syamala Ratnam Hospiatal,0,Andhra Pradesh,Anantapur,"Opposite R.T.C Bus Stand, Hindupur (Po)"
Girish Multispeciality Hospital,0,Andhra Pradesh,Anantapur,"#18-1-167, M F Road, Hindupur"
Shilpa Hospital,0,Andhra Pradesh,Anantapur,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur"
Sreenivasa Nursing Home,0,Andhra Pradesh,Anantapur,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur
Teja Nursing Home,0,Andhra Pradesh,Anantapur,R.P and G.T Road Hindupur
Sharada Nursing Home and Falvia P Reddy Diagnostic,0,Andhra Pradesh,Anantapur,"1/531A-3, East Palem, C B Road, Tadaptri"
Sri Kanchani Hospital,0,Andhra Pradesh,Anantapur,"C.B Road, Tadpatri"
Sri Veja Hospital,0,Andhra Pradesh,Anantapur,"14/10-3, Bukkapatnam Street,"
Azad Diabetic Centre,0,Andhra Pradesh,Anantapur,"Near Andhra Bank, Byepass Road , Kadiri"
Devi Nursing Home,0,Andhra Pradesh,Anantapur,"Beside Sudharsan Theatre, R.S.Road, Dharmavaram"
Spandana Hospital,0,Andhra Pradesh,Anantapur,"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram"
Preethi Nursing Home,0,Andhra Pradesh,Anantapur,"Thilak Nagar, Guntakal"
Babu Nursing Home - Chittoor,0,Andhra Pradesh,Chittoor,"2-1254/1 , Officecers Line, Kongareddipalli"
Dr. Agarwals Eye Hospital Ltd.,0,Andhra Pradesh,Chittoor,"22-339/2, Opposite Sbi Colony, Kongareddy Patte"
Dr. Ramalakshmi Nursing Home,0,Andhra Pradesh,Chittoor,"No.17-433, Lakshmi Complex, Sundarayyar Street"
Dr. V. K. R. Nursing Home and Scan Centre,0,Andhra Pradesh,Chittoor,"No. 20-142/1, Near Raghava Theatre, Naidu Building"
Lakshmi Hospital,0,Andhra Pradesh,Chittoor,"D.No:17-284,,T.V.Naidu St"
