Name,Category,State,City,Rating
# Momo,Restaurant,West Bengal,Durgapur,4.2
#99,Restaurant,Uttar Pradesh,Bareilly,4.1
#BBQ,Restaurant,Karnataka,Mangalore,3.6
#Dilliwaala6,Restaurant,Puducherry,Puducherry,3.7
#FlyFree,Restaurant,Rajasthan,Ajmer,4
#Foodiz,Restaurant,Rajasthan,Udaipur,3.5
#Hashtag Momos,Restaurant,Rajasthan,Jaipur,4.3
#PB Patiala Bites,Restaurant,Rajasthan,Udaipur,4
'@ Pizza,Restaurant,West Bengal,Kolkata,4
'@ Spirants Chai,Restaurant,Bihar,Gaya,4.2
'@69 Food Zone,Restaurant,West Bengal,Kolkata,3.7
0265 Burgers & Pizzas,Restaurant,Gujarat,Vadodara,4.5
0612 Road Chef Online,Restaurant,Bihar,Patna,4.2
07 Bakery,Restaurant,Rajasthan,Kota,2.7
1 Bake Shop,Restaurant,Odisha,Bhubaneswar,4
1 Bake Shop,Restaurant,Odisha,Cuttack,4.1
10 Downing Street,Restaurant,Andhra Pradesh,Vijayawada,4.3
10 Dur's,Restaurant,Punjab,Ludhiana,4.1
10 Hour's Family Restaurant,Restaurant,Bihar,Patna,3.8
10 Muffins,Restaurant,Tamil Nadu,Chennai,4.4
10 Park Street Cafe & Kitchen,Restaurant,Uttar Pradesh,Gorakhpur,4.2
10 To 10 Restaurants & Party Hall,Restaurant,Bihar,Patna,3
100 Foodies,Restaurant,Rajasthan,Kota,3.8
1000 BC,Restaurant,West Bengal,Kolkata,3.6
100N,Restaurant,Telangana,Hyderabad,4.1
11 July Fine Dine Restaurant,Restaurant,Assam,Guwahati,3.8
11 Spices Multi Cusine Restaurant,Restaurant,Telangana,Hyderabad,3.5
11 Star Cakes,Restaurant,Uttar Pradesh,Meerut,3.7
11-11 Flash Back,Restaurant,Tamil Nadu,Salem,4.2
11-11 The Food Station,Restaurant,Tamil Nadu,Salem,4.1
11th Avenue Cafe Bistro,Restaurant,Assam,Guwahati,3.7
11th Avenue Cafe Bistro,Restaurant,Assam,Guwahati,4
11To11,Restaurant,Tamil Nadu,Salem,4.4
1211 Pizza Point,Restaurant,Uttar Pradesh,Lucknow,4
12-3 AM Biryani,Restaurant,Andhra Pradesh,Vijayawada,3.1
13 Shawarma,Restaurant,Maharashtra,Mumbai,4
143 Cake House,Restaurant,Punjab,Jalandhar,3.8
1441 Pizzeria,Restaurant,Gujarat,Surat,3.8
1441 Pizzeria,Restaurant,Maharashtra,Pune,3.8
1441 Pizzeria,Restaurant,Maharashtra,Mumbai,4
14Greens,Restaurant,Uttar Pradesh,Lucknow,3.9
15 A.D.,Restaurant,Rajasthan,Jodhpur,4.5
17 Degree City Centre,Restaurant,Jharkhand,Dhanbad,4.3
17 Degrees,Restaurant,Bihar,Patna,4.1
17 Degrees Hotel,Restaurant,Jharkhand,Dhanbad,4.1
17 Sector,Restaurant,Punjab,Jalandhar,4.3
18 Degree Icecream Zone,Restaurant,Tamil Nadu,Trichy,4.3
1857 City Cafe,Restaurant,Uttar Pradesh,Meerut,4.1
19 Mini Pancakes,Restaurant,Puducherry,Puducherry,4.1
1944 -The HOCCO Kitchen,Restaurant,Rajasthan,Ajmer,4.2
1944 -The HOCCO Kitchen,Restaurant,Gujarat,Ahmedabad,4.3
1947,Restaurant,Karnataka,Bangalore,4.4
1947 Food Nation,Restaurant,Andhra Pradesh,Nellore,3.6
1947 Restaurant,Restaurant,Uttar Pradesh,Moradabad,3.3
1952 A Food Story,Restaurant,Rajasthan,Jodhpur,4.1
1968 Veg Restaurant - Hotel Manorama,Restaurant,Andhra Pradesh,Vijayawada,3.8
1989 Milkshakes,Restaurant,Telangana,Hyderabad,4.2
1989 Pizza & Thick Shake's,Restaurant,Telangana,Hyderabad,4
1C Dining,Restaurant,Tamil Nadu,Coimbatore,3.8
2 Bros Pizza & Resto,Restaurant,Uttar Pradesh,Bareilly,3.4
2 Bross Pizza Cafe,Restaurant,Uttar Pradesh,Aligarh,3.5
2 K,Restaurant,Tamil Nadu,Salem,4
2 Kaudi Ki Chai,Restaurant,Uttar Pradesh,Kanpur,4
2 Slices,Restaurant,Chhattisgarh,Raipur,4
2 Square,Restaurant,Tamil Nadu,Vellore,4.3
2 States,Restaurant,Karnataka,Mysore,3.5
21 Baker Street,Restaurant,Madhya Pradesh,Indore,3.2
21st Century Bakery,Restaurant,Rajasthan,Jodhpur,3.9
21st Fast Food,Restaurant,Rajasthan,Jodhpur,3.9
22 Constanzaa,Restaurant,Tamil Nadu,Chennai,4.4
22 Food Point,Restaurant,Punjab,Ludhiana,3.5
221B Shakes,Restaurant,Tamil Nadu,Coimbatore,4
22B The Resort,Restaurant,Uttar Pradesh,Meerut,3.9
22G Nutri Kulche Wale,Restaurant,Punjab,Jalandhar,4.1
22nd Parallel,Restaurant,Gujarat,Rajkot,4
23 Fusion Momos,Restaurant,Himachal Pradesh,Dharamshala,4.2
24 Carats Mithai Magic,Restaurant,Gujarat,Surat,4.4
24 Hours Bakery Shop,Restaurant,Madhya Pradesh,Indore,3.7
24 Royal Chinese Cafe,Restaurant,Gujarat,Vadodara,3.6
24/2 Maggi Villa,Restaurant,Uttar Pradesh,Meerut,4
24/7 Food Ex,Restaurant,Madhya Pradesh,Bhopal,3.9
24Seven,Restaurant,Delhi,NCR,4
24Seven,Restaurant,Delhi,Delhi NCR,4
25 Rice Bowls,Restaurant,Punjab,Ludhiana,4.3
28 Street Jam Cafe,Restaurant,Assam,Guwahati,3.6
29 States,Restaurant,Madhya Pradesh,Bhopal,3.4
2ND Wife,Restaurant,Uttar Pradesh,Agra,4.2
2o2 Di Restro Cafe,Restaurant,Madhya Pradesh,Indore,3.9
3 Coins,Restaurant,Andhra Pradesh,Nellore,4.4
3 Hill Cart Road- Jhale Jhole Ambole,Restaurant,West Bengal,Siliguri,4.2
3 K Resorts,Restaurant,Punjab,Ludhiana,3.8
3 Mom's Kitchen,Restaurant,Madhya Pradesh,Indore,4.3
3 Monkey's Cafe,Restaurant,Tamil Nadu,Coimbatore,4.1
3 Not 3 Ice Cream Cafe,Restaurant,Chandigarh,Chandigarh,4.2
3 Peg Bar & Restaurant,Restaurant,Jharkhand,Jamshedpur,4
3 Star Bakery,Restaurant,Telangana,Warangal,4.5
3 Star Sweets Bakery Restaurant,Restaurant,Telangana,Warangal,4.3
3 Story,Restaurant,Gujarat,Surat,4
3 Way Adda,Restaurant,Assam,Guwahati,3.5
3 Way Point,Restaurant,Assam,Guwahati,3.9
