customer_id,facility_id,arrival_time,age,service_type,priority_level,customer_type,wait_tolerance,queue_length,queue_position,historical_avg_wait,active_staff_count,avg_service_time,staff_availability,hour_of_day,day_of_week,is_holiday,peak_hours,no_show_indicator,service_counters,operational_hours,feedback_score,actual_wait_time,queue_status
C000001,F001,21-01-2024 09:01,53,complaint,normal,online,11,28,8,32.8,8,19.9,0.82,9,6,0,1,0,6,12,4.3,29.2,critical
C000002,F002,03-01-2024 11:14,21,application,normal,walk-in,28,39,13,41.4,4,12.7,0.89,11,2,0,1,0,5,10,4.1,45.5,critical
C000003,F001,07-01-2024 13:06,66,consultation,elderly,online,12,10,6,27.3,3,8.3,0.84,13,6,0,0,0,5,8,2.7,14.8,congested
C000004,F004,27-01-2024 18:39,42,renewal,elderly,walk-in,19,9,1,22.1,3,5.0,0.9,18,5,0,0,0,4,12,4.7,5.0,normal
C000005,F002,12-01-2024 10:23,44,renewal,elderly,walk-in,11,23,23,21.6,7,3.0,0.93,10,4,0,1,0,5,12,4.0,10.0,busy
C000006,F003,30-01-2024 18:44,46,application,normal,appointment,24,15,14,11.0,2,12.3,0.85,18,1,0,0,0,2,9,3.1,104.2,critical
C000007,F003,19-01-2024 13:13,81,complaint,elderly,online,9,17,15,14.0,3,20.3,0.64,13,4,0,0,0,6,12,2.5,112.6,critical
C000008,F004,13-01-2024 13:14,83,payment,elderly,online,13,26,3,14.3,1,3.8,0.65,13,5,0,0,0,6,8,5.0,12.7,busy
C000009,F004,20-01-2024 15:33,88,renewal,elderly,appointment,14,6,6,16.9,3,4.8,,15,5,0,0,0,3,12,4.8,,error
C000010,F002,24-01-2024 12:32,82,payment,elderly,appointment,8,14,14,34.2,8,5.4,0.9,12,2,0,1,0,6,8,3.2,7.8,busy
C000011,F005,16-01-2024 08:07,57,renewal,normal,walk-in,21,12,1,17.0,1,10.6,0.63,8,1,0,0,0,3,9,3.7,14.9,busy
C000012,F003,31-01-2024 16:10,85,renewal,elderly,online,7,24,14,16.0,2,10.3,0.81,16,2,0,0,0,5,12,3.0,63.5,critical
C000013,F001,08-01-2024 09:21,88,consultation,elderly,walk-in,8,21,19,30.6,3,8.5,0.81,9,0,0,1,0,2,10,2.9,68.7,critical
C000014,F001,08-01-2024 12:42,45,inquiry,normal,walk-in,21,39,9,45.0,4,4.6,0.96,12,0,0,1,0,2,12,4.7,20.3,congested
C000015,F002,14-01-2024 15:55,24,complaint,urgent,walk-in,6,32,7,14.3,4,23.3,0.82,15,6,0,0,0,3,9,4.4,19.5,critical
C000016,F001,05-01-2024 14:11,77,renewal,elderly,walk-in,18,12,2,24.0,1,7.4,0.62,14,4,0,0,0,3,9,3.9,16.4,busy
