facility_id,age,service_type,priority_level,customer_type,wait_tolerance,queue_length,queue_position,historical_avg_wait,active_staff_count,avg_service_time,staff_availability,hour_of_day,day_of_week,is_holiday,peak_hours,no_show_indicator,service_counters,operational_hours,feedback_score,actual_wait_time,queue_status
F001,53,complaint,normal,online,11,28,8,32.8,8,19.9,0.82,9,6,0,1,0,6,12,4.3,,critical
F002,21,application,normal,walk-in,28,39,13,41.4,4,12.7,0.89,11,2,0,1,0,5,10,4.1,,critical
F001,66,consultation,elderly,online,12,10,6,27.3,3,8.3,0.84,13,6,0,0,0,5,8,2.7,,congested
F004,42,renewal,elderly,walk-in,19,9,1,22.1,3,5,0.9,18,5,0,0,0,4,12,4.7,,normal
F002,44,renewal,elderly,walk-in,11,23,23,21.6,7,3,0.93,10,4,0,1,0,5,12,4,,busy
F003,46,application,normal,appointment,24,15,14,11,2,12.3,0.85,18,1,0,0,0,2,9,3.1,,critical
F003,81,complaint,elderly,online,9,17,15,14,3,20.3,0.64,13,4,0,0,0,6,12,2.5,,critical
F004,83,payment,elderly,online,13,26,3,14.3,1,3.8,0.65,13,5,0,0,0,6,8,5,,busy
F004,88,renewal,elderly,appointment,14,6,6,16.9,3,4.8,,15,5,0,0,0,3,12,4.8,,error
F002,82,payment,elderly,appointment,8,14,14,34.2,8,5.4,0.9,12,2,0,1,0,6,8,3.2,,busy
F005,57,renewal,normal,walk-in,21,12,1,17,1,10.6,0.63,8,1,0,0,0,3,9,3.7,,busy
F003,85,renewal,elderly,online,7,24,14,16,2,10.3,0.81,16,2,0,0,0,5,12,3,,critical
F001,88,consultation,elderly,walk-in,8,21,19,30.6,3,8.5,0.81,9,0,0,1,0,2,10,2.9,,critical
F001,45,inquiry,normal,walk-in,21,39,9,45,4,4.6,0.96,12,0,0,1,0,2,12,4.7,,congested
F002,24,complaint,urgent,walk-in,6,32,7,14.3,4,23.3,0.82,15,6,0,0,0,3,9,4.4,,critical
F001,77,renewal,elderly,walk-in,18,12,2,24,1,7.4,0.62,14,4,0,0,0,3,9,3.9,,busy
F003,25,inquiry,elderly,appointment,16,18,13,18,6,8,0.85,11,1,0,1,0,5,12,3.9,,congested
F002,87,application,elderly,online,14,10,6,19.8,3,9.5,0.92,11,2,0,1,0,2,8,3.5,,congested
F005,48,complaint,normal,online,26,17,4,17,1,19.8,0.79,17,2,0,0,0,6,10,2.6,,critical
F001,48,renewal,normal,walk-in,19,16,13,18.2,3,9.1,0.74,18,6,0,0,0,5,8,4.8,,critical
F003,62,payment,normal,online,46,9,4,27.3,3,3.2,0.65,16,6,0,0,0,6,8,4.2,,normal
F005,31,complaint,elderly,appointment,14,16,9,23.4,3,18.5,0.95,12,3,0,1,0,3,10,3.4,,critical
F003,50,inquiry,normal,walk-in,27,14,2,53.8,5,6,0.81,12,6,0,1,0,3,12,4.1,,normal
F001,27,consultation,normal,walk-in,8,11,9,14.3,3,8.8,0.77,16,6,0,0,0,4,10,3.8,,critical
F005,44,renewal,normal,appointment,24,12,11,13,3,11.5,0.83,8,4,0,0,0,3,9,4,,critical
F002,21,inquiry,elderly,appointment,16,18,11,41.4,8,6.2,0.97,10,4,0,1,0,2,12,4.9,,critical
F003,76,payment,elderly,appointment,11,20,10,22.1,2,4.3,0.61,15,6,0,0,0,2,10,3.9,,critical
F001,60,application,normal,walk-in,8,5,1,18,2,3,0.77,14,2,0,0,0,6,12,4.7,,normal
F005,83,application,elderly,online,13,8,7,16,3,13.6,0.61,13,4,0,0,0,3,10,4.2,,critical
F002,58,renewal,normal,online,18,8,5,19,4,13.7,0.7,18,2,0,0,0,3,12,4.3,,critical
F005,90,payment,elderly,online,16,18,13,13,3,4.9,0.69,18,5,0,0,0,4,12,3,,congested
F003,39,inquiry,elderly,online,14,12,5,36,3,6.2,0.96,11,0,0,1,0,3,9,4.1,,normal
F002,27,application,normal,walk-in,18,34,27,28.8,8,16.5,0.94,11,1,0,1,0,2,8,3.6,,critical
F005,84,complaint,elderly,online,9,34,4,30.6,3,24.9,0.89,10,0,0,1,0,6,10,4.4,,critical
F002,82,complaint,elderly,appointment,18,18,18,24,2,12.5,0.82,15,0,0,0,0,4,12,3.5,,critical
F002,54,complaint,normal,walk-in,8,12,5,20,3,12.7,0.87,15,1,0,0,1,5,9,4.2,,abandoned
F001,87,renewal,elderly,online,12,19,14,11,2,10.8,0.85,14,2,0,0,0,6,12,4.3,,critical
F004,71,inquiry,elderly,walk-in,19,22,18,17,4,6,0.67,13,2,0,0,0,4,12,3.8,,congested
F002,86,payment,elderly,appointment,18,6,4,13,1,3,0.79,15,5,0,0,0,2,10,4.6,,busy
F003,66,renewal,normal,walk-in,12,16,14,23.4,1,5.7,0.74,15,6,0,0,0,3,8,3,,critical
F005,49,consultation,normal,walk-in,17,14,14,13,2,14.2,0.67,8,6,0,0,0,3,12,3.5,,critical
F004,32,application,normal,appointment,24,10,5,13,1,7,0.88,13,3,0,0,0,3,8,4,,critical
F001,56,consultation,urgent,appointment,5,31,26,16.9,1,16.8,0.7,18,5,0,0,1,6,10,1,,abandoned
F003,64,inquiry,normal,online,13,32,30,18.2,4,6.5,0.65,15,6,0,0,0,6,12,3.9,,critical
F004,49,renewal,normal,online,21,9,5,31.2,2,10.5,0.83,17,5,0,0,0,4,8,4.2,,congested
F005,63,payment,normal,walk-in,10,23,11,32.4,7,3,0.94,10,3,0,1,0,3,8,4.8,,congested
F002,78,payment,elderly,online,10,32,32,31.2,1,6.6,0.63,15,6,0,0,1,4,10,1.7,,abandoned
F002,88,complaint,elderly,online,10,15,6,24,3,23.8,0.69,13,2,0,0,0,4,8,4,,critical
F002,79,payment,elderly,appointment,19,23,19,34.2,3,8.8,0.97,10,2,0,1,0,4,8,3.4,,critical
